"Time","Target/4","Rpm/4","Accel(rpm/s)","Power","D"
"1236","0.000000","0.000000","0.000000","0.000000","0.000000"
"1246","0.000000","-15697920.000000","-41861119999.999924","10.400000","12558336.000000"
"1256","0.000000","-29041152.000000","0.000000","10.800000","20721254.400000"
"1266","0.000000","-40382899.200000","0.000000","11.200000","25650401.280000"
"1276","0.000000","-50023384.320000","0.000000","11.600000","28232709.120000"
"1286","0.000000","-42519876.672000","41861119999.999924","12.000000","16583361.177600"
"1296","0.000000","-36141895.171200","0.000000","12.400000","8164303.741440"
"1306","0.000000","-30720610.895520","0.000000","12.800000","2194415.572608"
"1316","0.000000","-26112519.261192","0.000000","13.200000","-1930940.849376"
"1326","0.000000","-22195641.372013","0.000000","13.600000","-4678254.990844"
"1336","0.000000","-18866295.166211","0.000000","14.000000","-6406080.957317"
"1346","0.000000","-16036350.891280","0.000000","14.400000","-7388820.185799"
"1356","0.000000","-13630898.257588","0.000000","14.800000","-7835418.255592"
"1366","0.000000","-11586263.518949","0.000000","15.200000","-7904042.395384"
"1376","0.000000","-9848323.991107","0.000000","15.600000","-7713585.538582"
"1386","0.000000","-8371075.392441","0.000000","16.000000","-7352667.309798"
"1396","0.000000","-7115414.083575","0.000000","16.400000","-6886662.894931"
"1406","0.000000","-6048101.971039","0.000000","16.800000","-6363180.005974"
"1416","0.000000","-5140886.675383","0.000000","17.200000","-5816316.241304"
"1426","0.000000","-4369753.674075","0.000000","17.600000","-5269959.394089"
"1436","0.000000","-3714290.154214","1250.000000","18.000000","-4740338.331160"
"1446","0.000000","-3157146.162332","0.000000","18.400000","-4237985.858434"
"1456","0.000000","-2683573.300482","1250.000000","18.800000","-3769246.976227"
"1466","0.000000","-2281036.367910","0.000000","19.200000","-3337427.127039"
"1476","0.000000","-1938880.443973","-1250.000000","19.600000","-2943666.440781"
"1486","0.000000","-1648047.908627","0.000000","20.000000","-2587599.180901"
"1496","0.000000","-1400840.253583","0.000000","20.400000","-2267845.468756"
"1506","0.000000","-1190713.278046","1250.000000","20.800000","-1982377.955435"
"1516","0.000000","-1012105.348839","0.000000","21.200000","-1728788.707714"
"1526","0.000000","-860287.671513","2500.000000","21.600000","-1504485.108032"
"1536","0.000000","-731243.114536","-1250.000000","22.000000","-1306823.732007"
