


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.1.6     Platform:  V1.0.4 (b3)     Uptime:    0.000 s
Compiled:   Mar 13 2019 08:03:52     Directory:  7842F-Competition-Code


"Target","RPM","Power","D"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"
"0.000000","0.000000","0.000000","0.000000"WARNING - pros.serial.terminal.terminal:reader - Connection to COM16 broken
WARNING - pros.serial.terminal.terminal:stop - Stopping terminal



         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.1.6     Platform:  V1.0.4 (b3)     Uptime:    0.000 s
Compiled:   Mar 13 2019 08:03:52     Directory:  7842F-Competition-Code


"Target","RPM","Power","D"
"0.000000","18841600.000000","0.000000","-16957440.000000"
"0.000000","14131200.000000","0.000000","2543616.000000"
"0.000000","10127360.000000","0.000000","3857817.600000"
"0.000000","-12117504.000000","10.800000","20406159.360000"
"0.000000","-10299878.400000","11.600000","404752.896000"
"0.000000","-8754896.640000","12.400000","-1350008.294400"
"0.000000","-7441662.144000","13.200000","-1316911.875840"
"0.000000","-6325412.822400","14.000000","-1136315.577024"
"0.000000","-5376600.899040","14.800000","-967562.288726"
"0.000000","-4570110.764184","15.600000","-822597.350243"
"0.000000","-3884594.149556","16.400000","-699224.688189"
"0.000000","-3301905.027123","17.200000","-594342.679009"
"0.000000","-2806619.273054","18.000000","-505191.446562"
"0.000000","-2385626.382096","18.800000","-429412.746519"
"0.000000","-2027782.424782","19.600000","-365000.836235"
"0.000000","-1723615.061065","20.400000","-310250.710969"
"0.000000","-1465072.801905","21.200000","-263713.104341"
"0.000000","-1245311.881619","22.000000","-224156.138691"
"0.000000","-1058515.099376","22.800000","-190532.717888"
"0.000000","-899737.834470","23.600000","-161952.810205"
"0.000000","-764777.159299","24.400000","-137659.888674"
"0.000000","-650060.585404","25.200000","-117010.905373"
"0.000000","-552551.497594","26.000000","-99459.269567"
"0.000000","-469668.772955","26.800000","-84540.379132"
"0.000000","-399218.457012","27.600000","-71859.322262"
"0.000000","-339335.688460","28.400000","-61080.423923"
"0.000000","-288435.335191","29.200000","-51918.360334"
"0.000000","-245170.034912","30.000000","-44130.606284"
"0.000000","-208394.529675","30.800000","-37511.015342"
"0.000000","-177135.350224","31.600000","-31884.363040"
"0.000000","-150565.047690","32.400000","-27101.708584"
"0.000000","-127980.290537","33.200000","-23036.452297"
"0.000000","-108783.246956","34.000000","-19580.984452"
"0.000000","-92465.759913","34.800000","-16643.836784"
"0.000000","-78595.895926","35.600000","-14147.261267"
