


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.1.6     Platform:  V1.0.4 (b3)     Uptime:    0.000 s
Compiled:   Mar 13 2019 08:18:28     Directory:  7842F-Competition-Code


"Time","Target","RPM","Power","D"
"1236","0.000000","0.000000","0.000000","0.000000"
"1256","0.000000","0.000000","0.000000","0.000000"
"1276","0.000000","0.000000","0.000000","0.000000"
"1296","0.000000","0.000000","0.000000","0.000000"
"1316","0.000000","0.000000","0.000000","0.000000"
"1336","0.000000","0.000000","0.000000","0.000000"
"1356","0.000000","0.000000","0.000000","0.000000"
"1376","0.000000","0.000000","0.000000","0.000000"
"1396","0.000000","0.000000","0.000000","0.000000"
"1416","0.000000","0.000000","0.000000","0.000000"
"1436","0.000000","0.000000","0.000000","0.000000"
"1456","0.000000","0.000000","0.000000","0.000000"
"1476","0.000000","0.000000","0.000000","0.000000"
"1496","0.000000","0.000000","0.000000","0.000000"
"1516","0.000000","0.000000","0.000000","0.000000"
"1536","0.000000","0.000000","0.000000","0.000000"
"1556","0.000000","0.000000","0.000000","0.000000"
"1576","0.000000","0.000000","0.000000","0.000000"
"1596","0.000000","0.000000","0.000000","0.000000"
"1616","0.000000","0.000000","0.000000","0.000000"
"1636","0.000000","0.000000","0.000000","0.000000"
"1656","0.000000","0.000000","0.000000","0.000000"
"1676","0.000000","0.000000","0.000000","0.000000"
"1696","0.000000","0.000000","0.000000","0.000000"
"1716","0.000000","0.000000","0.000000","0.000000"
"1736","0.000000","0.000000","0.000000","0.000000"
"1756","0.000000","0.000000","0.000000","0.000000"
"1776","0.000000","0.000000","0.000000","0.000000"
"1796","0.000000","0.000000","0.000000","0.000000"
"1816","0.000000","0.000000","0.000000","0.000000"
"1836","0.000000","0.000000","0.000000","0.000000"
"1856","0.000000","0.000000","0.000000","0.000000"
"1876","0.000000","0.000000","0.000000","0.000000"
"1896","0.000000","0.000000","0.000000","0.000000"
"1916","0.000000","0.000000","0.000000","0.000000"
"1936","0.000000","0.000000","0.000000","0.000000"
"1956","0.000000","0.000000","0.000000","0.000000"
"1976","0.000000","0.000000","0.000000","0.000000"
