Time,Target,RPM,Power,D
1236,0,0,0,0
1256,0,0,0,0
1276,0,0,0,0
1296,0,0,0,0
1316,0,0,0,0
1336,0,0,0,0
1356,0,0,0,0
1376,0,0,0,0
1396,0,0,0,0
1416,0,0,0,0
1436,0,0,0,0
1456,0,0,0,0
1476,0,0,0,0
1496,0,0,0,0
1516,0,0,0,0
1536,0,0,0,0
1556,0,0,0,0
1576,0,0,0,0
1596,0,0,0,0
1616,0,0,0,0
1636,0,0,0,0
1656,0,0,0,0
1676,0,0,0,0
1696,0,0,0,0
1716,0,0,0,0
1736,0,0,0,0
1756,0,0,0,0
1776,0,0,0,0
1796,0,0,0,0
1816,0,0,0,0
1836,0,0,0,0
1856,0,0,0,0
1876,0,0,0,0
1896,0,0,0,0
1916,0,0,0,0
1936,0,0,0,0
1956,0,0,0,0
1976,0,0,0,0
1996,0,0,0,0
2016,0,0,0,0
2036,0,0,0,0
2056,0,0,0,0
2076,0,0,0,0
2096,0,0,0,0
2116,0,0,0,0
2136,0,0,0,0
2156,0,0,0,0
2176,0,0,0,0
2196,0,0,0,0
2216,0,0,0,0
2236,0,0,0,0
2256,0,0,0,0
2276,0,0,0,0
2296,0,0,0,0
2316,0,0,0,0
2336,0,0,0,0
2356,0,0,0,0
2376,0,0,0,0
2396,0,0,0,0
2416,0,0,0,0
2436,0,0,0,0
2456,0,0,0,0
2476,0,0,0,0
2496,0,0,0,0
2516,0,0,0,0
2536,0,0,0,0
2556,0,0,0,0
2576,0,0,0,0
2596,0,0,0,0
2616,0,0,0,0
2636,0,0,0,0
2656,0,0,0,0
2676,0,0,0,0
2696,0,0,0,0
2716,0,0,0,0
2736,0,0,0,0
2756,0,0,0,0
2776,0,0,0,0
2796,0,0,0,0
2816,0,0,0,0
2836,0,0,0,0
2856,0,0,0,0
2876,-300,0,0,-270
2896,-300,0,0,-27
2916,-300,0,0,-2.7
2936,-300,0,0,-0.27
2956,-300,0,0,-0.027
2976,-300,0,0,-0.0027
2996,-300,0,0,-0.00027
3016,-300,0,0,-0.000027
3036,-300,0,0,-0.000003
3056,-300,0,0,0
3076,-300,0,0,0
3096,-300,0,0,0
3116,-300,0,0,0
3136,-300,0,0,0
3156,-300,0,0,0
3176,-300,0,0,0
3196,-300,0,0,0
3216,-300,0,0,0
3236,0,0,10.8,270
3256,0,0,10,27
3276,0,0,9.2,2.7
3296,0,0,8.4,0.27
3316,0,0,7.6,0.027
3336,0,0,6.8,0.0027
3356,0,0,6,0.00027
3376,0,0,5.2,0.000027
3396,0,0,4.4,0.000003
3416,0,0,3.6,0
3436,0,0,2.8,0
3456,0,0,2,0
3476,0,0,1.2,0
3496,0,0,0.4,0
3516,0,0,0,0
3536,0,0,0,0
